Cnt	emplID	CUM_GPA
-85918	12579886	3.91
-71431	12722360	3.22
-177948	12475138	3.76
-127886	12820400	2.79
-24117	12192320	3.61
-15246	12740790	3.05
-139734	12659382	3.84
-25998	12275959	2.58
-66299	10253628	2.65
-56304	10126068	3.65
-25658	12507278	3.27
-55962	12470338	3.86
-236210	11562705	3.01
-16825	11624296	3.36
-31260	11611770	3.69
-80953	12411213	3.47
-15748	11535261	3.36
-32360	12748627	3.34
-10888	12418983	3.66
-36320	12264516	3.39
-3958	11547623	3.09
-10884	11456896	0
-42280	12839700	3.16
-17810	12646551	3.56
-5864	12121198	3.79
-175987	12751036	3.5
-123142	12096589	3.8
-25665	12243145	3.31
-58833	12367331	2.32
-31516	12785787	3.8
-89014	11548557	3.65
-28400	12487893	3.64
-12864	11442048	3.56
-28400	12630453	3.73
-19720	11544402	3.24
-21899	12486814	2.82
-14276	11440509	2.4
-259836	11544014	0
-11636	11432968	3.45
-14840	11393723	3.46
-19120	12425495	3.61
-17069	11586632	3.2
-224000	12409096	0
-90414	12162546	3.92
-2722	11599954	3.25
-9822	12364465	3.36
-87407	12070967	0
-21516	12834958	3.49
-191681	12476370	3.28
-5864	12677843	3.9
-209992	12800865	0
-17666	12798166	3.3
-16328	11532024	3.29
-177734	12527114	3.08
-19475	12198057	0
-102271	12242466	2.71
-34450	12541082	3.7
-183619	12600451	3.55
-32280	11268990	3.55
-7670	11458184	2.93
-25008	12383010	3
-56095	12392743	3.96
-219937	11584586	3.1
-79229	12125941	0
-57782	12767877	3.37
-20387	12777295	2.88
480	12612509	0
-184480	12751269	2.43
-197703	12346361	3.68
-243959	12281407	3.63
-159742	12707301	3.1
-46022	12820233	0
-20868	12072675	3.44
-168695	12186623	3.48
-2721	12702776	3.67
-149715	12395602	3.71
-36320	11533666	3.53
-23639	12101471	3.43
-28140	12677643	3.43
-90314	11600192	3.93
-87973	11524528	3.35
-34340	12755608	3.51
-29403	11578944	0
-27006	12495736	3.01
-61470	12835167	3.27
-80289	12795230	3.55
-7844	11556327	3.07
-63522	11395119	3.92
-7420	11581070	3.4
-15688	12791500	2.94
-95735	11554203	3.32
-47694	12122319	2.63
-29120	12755554	3.67
-166962	12466034	3.61
-66670	11353590	3.44
-79850	11573016	3.62
-26313	11629194	2.63
-43290	12523752	2.72
-18800	11587499	0
-32773	12125159	3.13
-28614	12349161	2.97
-29515	12395406	3.64
-125730	12351566	2.39
-127038	12174876	0
-47300	12473260	3.74
-5442	11575958	3.29
-15063	12132470	2.65
-242089	12417297	3.81
-73882	11538062	3.7
-11060	11575895	3.52
-73059	12467898	0
-18158	12763863	3.47
-55639	11440910	3.98
-37968	12250049	0
-279828	12763883	3.32
-122008	12367729	2.8
-121689	12346998	2.13
-132205	12472978	2.25
-44112	11453157	0
-226880	12725419	3.09
-11794	12354410	3.24
-27140	12446818	0
-13708	12472967	2.25
-40186	12441837	3.61
-46638	11557059	3.84
-28831	12466728	3.4
-9719	12190852	3.65
-101887	11446156	3.61
-19047	11589969	3.72
-28400	12677939	3.24
-63320	12149950	3.69
-140007	12792942	3.23
-7422	12831298	3.32
-33114	11529774	2.98
-116084	12718130	3.73
-143129	12795863	2.69
-38096	12832300	3.45
-112378	12818587	3.53
-20992	13038796	2.17
-36320	12439356	3.69
-2400	12839622	2.59
-16676	12442849	3.07
-58982	12833764	3.32
-239331	11524185	3.36
-36320	12682195	3.43
-71090	12153846	3.45
-52278	10318322	3.38
-82885.28	12792846	3.46
-100668	12264321	3.5
-7819	12826888	3.21
-98717	11576282	3.21
-14844	12292733	3.21
-46184	12962377	3.89
-51281	12837305	0
-25261	12442436	2.97
-3711	12678976	3.49
-18158	12537135	2.81
-151685	12834993	3.61
-18234	12839386	2.93
-111976	11448834	3.18
-131283	12735132	3.23
-21780	12453409	3.7
-2400	12484772	2.72
-56893	13331407	3.87
-44638	12251264	2.29
-12948	11318732	3.76
-15688	11447369	3.58
-62177	12330797	3.37
-101722	11551469	2.53
-10142	12731695	3.01
-29118	12236396	3.62
-205204	12248575	2.97
-14276	12356340	3.17
-47395	13378163	3.12
-20638	12287883	3.42
-182003	12757865	3.63
-65070	11561304	3.92
-105938	12263854	3.41
-263071	11429000	3.23
-7844	12405661	2.8
-65662	11439272	0
-14276	11613046	3.44
-84765	12638887	3.24
-134129	12556339	3.89
-26498	12832892	3.5
-13632	12755860	3.97
-29540	12789959	3.66
-2400	12225994	3.2
-35436	12322691	3.34
-12864	12428995	3.05
-253096	12620365	3.6
-27142	12381103	3.46
-83278	12430437	3.52
-29301	12525918	3.19
-10316	12075873	3.51
-13420	11546671	3.88
-15508	12830494	3.59
-15918	11447411	3.62
-32432	12443339	3.69
-11346	11394562	3.63
-63320	12149950	3.81
-152540	11594191	2.28
-8164	12820538	3.24
-154752	11598943	0
-67402	11516249	3.23
-25112	12835023	0
-98203	12631686	3.37
-74459	12477377	3.73
-39536	12836677	0
-16676	12405006	2.73
-36320	11517418	3.2
-15195	12594947	0
-19294	12838225	3.55
-163205	11252223	3.41
-266004	12353097	2.67
-4452	11610375	3.18
-184387	11563096	3.52
-5664	12233100	3.97
-251716	12667454	3.43
-228241	12348427	3.37
-228680	11999700	3.7
-50120	12543196	2.4
-32959	12096427	3.62
-11102	11627538	0
-7844	12465375	2.69
-26720	12680029	3.43
-181651	12736428	2.86
-89796	12632421	3.78
-19296	12397351	3.37
-79694	12838516	3.28
-22729	12705477	3.53
-99361	11588727	3.98
-32932	12503523	3.15
-73648	11536787	3.39
-249166	12398190	3.29
-13985	12597232	3.58
-229787	12701887	2.72
-152923	12625109	3.37
-28163	12603835	3.97
-200277	12312838	3.43
-65508	11549856	2.94
-26716	12664591	3.14
-26720	12514027	3.53
-21772	12700139	3.76
-14688	12305537	0
-13850	11621014	3.24
-70394	12431776	3.57
-89191	11422577	0
-216126	12520272	2.25
-12000	12831973	3.75
-226668	12563071	3.49
-60713	12634552	3.36
-51431	12818806	0
-191327	12347881	3.2
-130762	12470150	2.58
-19222	12256838	0
-159349	11432389	3.81
-246047	12754570	3.18
-137236	11536137	3.7
-23752	12731247	3.49
1	213125	3.2
1	216960	3.23
