Season,Playoffs,Rk,G,Date,Days Off,Age,Age-Decimal,Tm,Home,Opp,Result,WinLoss,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2010-2011,0,79,79,4/11/2011,5.00,26-102,26.27945205,MIA,0,ATL,8,W,1,42:39:00,10,21,0.476,2,4,0.5,12,14,0.857,1,9,10,7,3,0,7,1,34,26.4,7
2010-2011,1,1,1,4/16/2011,2.00,26-107,26.29315068,MIA,1,PHI,8,W,1,42:43:00,4,14,0.286,0,2,0,13,14,0.929,4,10,14,5,1,3,2,3,21,21.6,4
2010-2011,1,2,2,4/18/2011,3.00,26-109,26.29863014,MIA,1,PHI,21,W,1,38:55:00,10,19,0.526,1,1,1,8,10,0.8,1,6,7,6,0,0,0,1,29,25.2,24
2010-2011,1,3,3,4/21/2011,3.00,26-112,26.30684932,MIA,0,PHI,6,W,1,44:16:00,8,15,0.533,1,4,0.25,7,10,0.7,1,14,15,6,1,0,1,1,24,24.2,8
2010-2011,1,4,4,4/24/2011,3.00,26-115,26.31506849,MIA,0,PHI,-4,L,1,43:33:00,11,20,0.55,0,4,0,9,11,0.818,2,5,7,6,1,1,1,2,31,27.6,-4
2010-2011,1,5,5,4/27/2011,4.00,26-118,26.32328767,MIA,1,PHI,6,W,1,41:40:00,5,13,0.385,2,5,0.4,4,5,0.8,3,7,10,8,1,0,3,2,16,15.5,5
2010-2011,1,6,6,5/1/2011,2.00,26-122,26.33424658,MIA,1,BOS,9,W,1,39:54:00,8,19,0.421,1,3,0.333,5,9,0.556,1,5,6,5,2,2,3,2,22,15.6,1
2010-2011,1,7,7,5/3/2011,4.00,26-124,26.33972603,MIA,1,BOS,11,W,1,44:03:00,14,25,0.56,2,4,0.5,5,8,0.625,2,5,7,2,1,1,0,3,35,26.7,10
2010-2011,1,8,8,5/7/2011,2.00,26-128,26.35068493,MIA,0,BOS,-16,L,1,42:48:00,6,16,0.375,0,3,0,3,7,0.429,2,5,7,4,2,5,4,3,15,10.6,-21
2010-2011,1,9,9,5/9/2011,2.00,26-130,26.35616438,MIA,0,BOS,8,W,1,50:17:00,12,28,0.429,2,6,0.333,9,9,1,3,11,14,3,3,0,5,3,35,24.5,7
2010-2011,1,10,10,5/11/2011,4.00,26-132,26.36164384,MIA,1,BOS,10,W,1,45:43:00,11,20,0.55,5,7,0.714,6,9,0.667,2,5,7,4,1,1,5,1,33,24.2,14
2010-2011,1,11,11,5/15/2011,3.00,26-136,26.37260274,MIA,0,CHI,-21,L,1,41:12:00,5,15,0.333,1,3,0.333,4,4,1,1,5,6,6,2,3,4,2,15,12.2,-14
2010-2011,1,12,12,5/18/2011,4.00,26-139,26.38082192,MIA,0,CHI,10,W,1,45:39:00,12,21,0.571,2,6,0.333,3,7,0.429,3,7,10,5,3,0,5,3,29,22,8
2010-2011,1,13,13,5/22/2011,2.00,26-143,26.39178082,MIA,1,CHI,11,W,1,43:55:00,6,13,0.462,1,2,0.5,9,9,1,1,5,6,10,2,2,0,4,22,26.3,16
2010-2011,1,14,14,5/24/2011,2.00,26-145,26.39726027,MIA,1,CHI,8,W,1,49:23:00,11,26,0.423,0,1,0,13,13,1,2,4,6,6,2,2,5,4,35,24.8,-1
2010-2011,1,15,15,5/26/2011,5.00,26-147,26.40273973,MIA,0,CHI,3,W,1,45:46:00,8,19,0.421,3,6,0.5,9,11,0.818,0,11,11,6,3,2,4,2,28,24.2,8
2010-2011,1,16,16,5/31/2011,2.00,26-152,26.41643836,MIA,1,DAL,8,W,1,45:15:00,9,16,0.563,4,5,0.8,2,2,1,0,9,9,5,1,0,1,4,24,21,9
2010-2011,1,17,17,6/2/2011,3.00,26-154,26.42191781,MIA,1,DAL,-2,L,1,39:37:00,8,15,0.533,2,7,0.286,2,4,0.5,1,7,8,4,4,1,5,4,20,15.6,-5
2010-2011,1,18,18,6/5/2011,2.00,26-157,26.43013699,MIA,0,DAL,2,W,1,45:15:00,6,14,0.429,1,4,0.25,4,4,1,0,3,3,9,2,0,4,3,17,13.6,1
2010-2011,1,19,19,6/7/2011,2.00,26-159,26.43561644,MIA,0,DAL,-3,L,1,45:43:00,3,11,0.273,0,3,0,2,4,0.5,3,6,9,7,2,0,4,4,8,5.9,-6
2010-2011,1,20,20,6/9/2011,3.00,26-161,26.44109589,MIA,0,DAL,-9,L,1,45:38:00,8,19,0.421,0,4,0,1,2,0.5,1,9,10,10,0,1,4,3,17,12.4,-11
2010-2011,1,21,21,6/12/2011,196.00,26-164,26.44931507,MIA,1,DAL,-10,L,1,40:21:00,9,15,0.6,2,5,0.4,1,4,0.25,1,3,4,6,1,1,6,2,21,13.6,-24
2011-2012,0,1,1,12/25/2011,2.00,26-360,26.98630137,MIA,0,DAL,11,W,1,36:16:00,11,19,0.579,0,0,,15,19,0.789,3,7,10,6,2,2,3,3,37,34.1,27
2011-2012,0,2,2,12/27/2011,1.00,26-362,26.99178082,MIA,1,BOS,8,W,1,36:00:00,9,14,0.643,0,0,,8,9,0.889,1,5,6,5,2,1,3,3,26,23.6,-7
2011-2012,0,3,3,12/28/2011,2.00,26-363,26.99452055,MIA,0,CHA,1,W,1,38:49:00,13,23,0.565,0,0,,9,9,1,0,6,6,7,3,2,2,0,35,33.2,5
2011-2012,0,4,4,12/30/2011,2.00,27-000,27,MIA,0,MIN,2,W,1,37:13:00,16,26,0.615,0,1,0,2,4,0.5,1,7,8,10,4,1,4,2,34,31.1,14
2011-2012,0,5,5,1/1/2012,1.00,27-002,27.00547945,MIA,1,CHA,39,W,1,28:02:00,6,10,0.6,0,0,,4,6,0.667,0,9,9,5,1,0,2,2,16,15,24
2011-2012,0,6,6,1/2/2012,2.00,27-003,27.00821918,MIA,1,ATL,-8,L,1,38:33:00,11,18,0.611,0,0,,6,9,0.667,2,5,7,6,0,0,4,1,28,21.3,-1
2011-2012,0,7,7,1/4/2012,3.00,27-005,27.01369863,MIA,1,IND,35,W,1,37:41:00,12,21,0.571,0,0,,9,11,0.818,2,6,8,13,2,0,2,2,33,33.8,31
2011-2012,0,8,8,1/7/2012,3.00,27-008,27.02191781,MIA,0,NJN,11,W,1,37:23:00,11,17,0.647,0,1,0,10,12,0.833,0,7,7,9,2,1,8,2,32,26,7
2011-2012,0,9,9,1/10/2012,1.00,27-011,27.03013699,MIA,0,GSW,-5,L,1,42:33:00,10,19,0.526,0,2,0,6,8,0.75,1,10,11,7,2,0,5,1,26,21.1,-5
2011-2012,0,10,10,1/11/2012,2.00,27-012,27.03287671,MIA,0,LAC,-6,L,1,41:53:00,7,19,0.368,0,1,0,9,17,0.529,2,11,13,7,2,0,6,5,23,12.9,-9
2011-2012,0,11,11,1/13/2012,4.00,27-014,27.03835616,MIA,0,DEN,-13,L,1,37:11:00,13,20,0.65,3,5,0.6,6,11,0.545,1,4,5,6,2,1,4,0,35,29,-16
2011-2012,0,12,12,1/17/2012,2.00,27-018,27.04931507,MIA,1,SAS,22,W,1,34:53:00,12,21,0.571,4,6,0.667,5,9,0.556,1,4,5,10,0,0,4,0,33,26.4,19
2011-2012,0,13,13,1/19/2012,2.00,27-020,27.05479452,MIA,1,LAL,11,W,1,37:13:00,12,27,0.444,2,3,0.667,5,7,0.714,3,5,8,8,4,3,3,4,31,26.8,0
2011-2012,0,14,14,1/21/2012,1.00,27-022,27.06027397,MIA,1,PHI,21,W,1,35:47:00,12,17,0.706,0,0,,4,4,1,0,9,9,5,4,3,4,1,28,28.8,9
2011-2012,0,15,15,1/22/2012,2.00,27-023,27.0630137,MIA,1,MIL,-9,L,1,37:22:00,8,18,0.444,0,1,0,12,13,0.923,4,9,13,5,1,0,3,2,28,24.4,-4
2011-2012,0,16,16,1/24/2012,1.00,27-025,27.06849315,MIA,1,CLE,7,W,1,37:48:00,8,21,0.381,1,4,0.25,1,4,0.25,1,4,5,5,2,0,5,1,18,7.3,9
2011-2012,0,17,17,1/25/2012,2.00,27-026,27.07123288,MIA,0,DET,3,W,1,41:39:00,9,20,0.45,1,3,0.333,13,14,0.929,1,5,6,7,2,0,4,3,32,25.1,6
2011-2012,0,18,18,1/27/2012,2.00,27-028,27.07671233,MIA,1,NYK,10,W,1,40:17:00,11,18,0.611,0,2,0,9,10,0.9,1,7,8,7,0,0,4,2,31,25.3,4
2011-2012,0,19,19,1/29/2012,1.00,27-030,27.08219178,MIA,1,CHI,4,W,1,40:58:00,12,23,0.522,1,1,1,10,15,0.667,1,10,11,5,0,1,6,2,35,22.8,3
2011-2012,0,20,20,1/30/2012,2.00,27-031,27.08493151,MIA,1,NOH,14,W,1,29:44:00,8,12,0.667,1,2,0.5,5,7,0.714,4,7,11,8,1,0,4,1,22,23.1,29
2011-2012,0,21,21,2/1/2012,2.00,27-033,27.09041096,MIA,0,MIL,-8,L,1,40:17:00,14,24,0.583,4,7,0.571,8,10,0.8,0,8,8,5,2,0,7,1,40,28.5,-6
2011-2012,0,22,22,2/3/2012,2.00,27-035,27.09589041,MIA,0,PHI,20,W,1,37:13:00,8,16,0.5,0,1,0,3,6,0.5,1,11,12,8,0,2,2,2,19,18,19
2011-2012,0,23,23,2/5/2012,2.00,27-037,27.10136986,MIA,1,TOR,6,W,1,38:29:00,10,17,0.588,0,1,0,10,12,0.833,0,9,9,2,1,0,5,1,30,21,11
2011-2012,0,24,24,2/7/2012,1.00,27-039,27.10684932,MIA,1,CLE,16,W,1,38:40:00,9,16,0.563,0,1,0,6,7,0.857,1,4,5,6,2,0,6,1,24,17.7,5
2011-2012,0,25,25,2/8/2012,2.00,27-040,27.10958904,MIA,0,ORL,-13,L,1,39:15:00,5,15,0.333,0,2,0,7,10,0.7,0,6,6,10,3,0,3,0,17,16.1,-1
2011-2012,0,26,26,2/10/2012,2.00,27-042,27.11506849,MIA,0,WAS,17,W,1,33:17:00,6,14,0.429,0,2,0,6,7,0.857,0,2,2,9,0,2,1,1,18,17.1,14
2011-2012,0,27,27,2/12/2012,1.00,27-044,27.12054795,MIA,0,ATL,20,W,1,30:26:00,6,15,0.4,1,3,0.333,10,12,0.833,3,10,13,6,1,0,2,1,23,22,26
2011-2012,0,28,28,2/13/2012,1.00,27-045,27.12328767,MIA,0,MIL,18,W,1,32:54:00,16,21,0.762,0,0,,3,3,1,3,5,8,3,1,0,2,3,35,30.2,14
2011-2012,0,29,29,2/14/2012,3.00,27-046,27.1260274,MIA,0,IND,15,W,1,33:24:00,7,15,0.467,2,5,0.4,7,8,0.875,2,7,9,7,4,0,2,2,23,24.5,27
2011-2012,0,30,30,2/17/2012,2.00,27-049,27.13424658,MIA,0,CLE,24,W,1,30:08:00,11,19,0.579,3,5,0.6,3,3,1,2,3,5,5,1,1,2,2,28,23.8,27
2011-2012,0,31,31,2/19/2012,2.00,27-051,27.13972603,MIA,1,ORL,12,W,1,36:38:00,9,14,0.643,1,2,0.5,6,7,0.857,1,10,11,8,2,0,2,2,25,26.9,23
2011-2012,0,32,32,2/21/2012,2.00,27-053,27.14520548,MIA,1,SAC,12,W,1,33:13:00,7,11,0.636,2,2,1,2,2,1,0,4,4,8,0,2,3,1,18,17.9,7
2011-2012,0,33,33,2/23/2012,7.00,27-055,27.15068493,MIA,1,NYK,14,W,1,40:41:00,7,16,0.438,0,0,,6,6,1,1,8,9,8,5,2,4,3,20,21.5,12
2011-2012,0,34,34,3/1/2012,1.00,27-062,27.16986301,MIA,0,POR,14,W,1,41:02:00,13,22,0.591,2,2,1,10,12,0.833,2,9,11,6,5,1,0,1,38,40.6,8
2011-2012,0,35,35,3/2/2012,2.00,27-063,27.17260274,MIA,0,UTA,-1,L,1,44:24:00,16,24,0.667,1,4,0.25,2,3,0.667,1,9,10,6,0,3,0,2,35,33.1,7
2011-2012,0,36,36,3/4/2012,2.00,27-065,27.17808219,MIA,0,LAL,-10,L,1,43:02:00,12,26,0.462,0,4,0,1,3,0.333,7,6,13,7,3,2,3,1,25,23.4,-13
2011-2012,0,37,37,3/6/2012,1.00,27-067,27.18356164,MIA,1,NJN,30,W,1,29:36:00,9,11,0.818,1,1,1,2,2,1,1,8,9,6,0,0,5,0,21,19.2,20
2011-2012,0,38,38,3/7/2012,3.00,27-068,27.18630137,MIA,1,ATL,3,W,1,41:40:00,12,20,0.6,0,3,0,7,10,0.7,4,7,11,2,1,2,2,1,31,26.9,7
2011-2012,0,39,39,3/10/2012,3.00,27-071,27.19452055,MIA,1,IND,2,W,1,47:06:00,8,19,0.421,2,3,0.667,9,15,0.6,1,7,8,4,4,1,4,1,27,20.4,3
2011-2012,0,40,40,3/13/2012,1.00,27-074,27.20273973,MIA,0,ORL,-6,L,1,42:25:00,7,20,0.35,2,4,0.5,3,3,1,3,8,11,8,1,1,6,0,19,13.6,0
2011-2012,0,41,41,3/14/2012,2.00,27-075,27.20547945,MIA,0,CHI,-4,L,1,39:38:00,14,25,0.56,2,3,0.667,5,5,1,1,4,5,4,4,0,2,2,35,29,5
2011-2012,0,42,42,3/16/2012,2.00,27-077,27.2109589,MIA,0,PHI,6,W,1,38:15:00,12,20,0.6,0,2,0,5,8,0.625,2,5,7,8,2,2,1,0,29,29.5,10
2011-2012,0,43,43,3/18/2012,2.00,27-079,27.21643836,MIA,1,ORL,10,W,1,38:58:00,4,14,0.286,0,1,0,6,8,0.75,0,12,12,7,5,0,4,4,14,12.9,13
2011-2012,0,44,44,3/20/2012,3.00,27-081,27.22191781,MIA,1,PHO,4,W,1,37:54:00,8,18,0.444,0,3,0,4,6,0.667,1,7,8,6,2,2,3,2,20,16.4,15
2011-2012,0,45,45,3/23/2012,2.00,27-084,27.23013699,MIA,0,DET,15,W,1,37:26:00,6,15,0.4,0,3,0,5,5,1,0,6,6,10,4,1,5,0,17,17.4,8
2011-2012,0,46,46,3/25/2012,1.00,27-086,27.23561644,MIA,0,OKC,-16,L,1,39:36:00,8,18,0.444,0,3,0,1,1,1,0,3,3,7,2,0,4,2,17,10.6,-10
2011-2012,0,47,47,3/26/2012,3.00,27-087,27.23835616,MIA,0,IND,-15,L,1,40:49:00,9,21,0.429,2,4,0.5,4,6,0.667,2,7,9,2,1,0,6,1,24,11.6,-14
2011-2012,0,48,48,3/29/2012,1.00,27-090,27.24657534,MIA,1,DAL,21,W,1,36:13:00,8,16,0.5,0,2,0,3,3,1,3,6,9,5,2,0,3,3,19,16.2,9
2011-2012,0,49,49,3/30/2012,2.00,27-091,27.24931507,MIA,0,TOR,12,W,1,38:31:00,11,18,0.611,0,2,0,4,6,0.667,1,3,4,9,1,0,3,0,26,22.9,9
2011-2012,0,50,50,4/1/2012,2.00,27-093,27.25479452,MIA,0,BOS,-19,L,1,34:37:00,11,20,0.55,0,0,,1,2,0.5,2,2,4,0,0,1,2,1,23,13.3,-30
2011-2012,0,51,51,4/3/2012,1.00,27-095,27.26027397,MIA,1,PHI,6,W,1,38:04:00,15,25,0.6,1,2,0.5,10,13,0.769,3,3,6,4,3,1,4,0,41,33.8,12
2011-2012,0,52,52,4/4/2012,2.00,27-096,27.2630137,MIA,1,OKC,5,W,1,41:30:00,10,20,0.5,3,7,0.429,11,13,0.846,1,6,7,10,4,1,2,2,34,34.6,20
2011-2012,0,53,53,4/6/2012,2.00,27-098,27.26849315,MIA,1,MEM,-15,L,1,37:38:00,8,19,0.421,2,6,0.333,3,4,0.75,2,4,6,6,2,0,3,0,21,16.3,-6
2011-2012,0,54,54,4/8/2012,2.00,27-100,27.2739726,MIA,1,DET,23,W,1,32:15:00,12,22,0.545,1,3,0.333,1,5,0.2,3,1,4,2,0,1,1,1,26,16.9,10
2011-2012,0,55,55,4/10/2012,2.00,27-102,27.27945205,MIA,1,BOS,-8,L,1,40:51:00,11,23,0.478,1,3,0.333,13,14,0.929,5,2,7,7,1,1,2,3,36,31.4,-6
2011-2012,0,56,56,4/12/2012,1.00,27-104,27.28493151,MIA,0,CHI,-10,L,1,47:18:00,11,24,0.458,3,6,0.5,5,7,0.714,1,5,6,5,1,1,4,1,30,19.8,-1
2011-2012,0,57,57,4/13/2012,2.00,27-105,27.28767123,MIA,1,CHA,23,W,1,28:44:00,7,16,0.438,0,1,0,5,7,0.714,1,8,9,5,2,1,2,1,19,16.7,18
2011-2012,0,58,58,4/15/2012,1.00,27-107,27.29315068,MIA,0,NYK,8,W,1,40:15:00,11,24,0.458,1,6,0.167,6,9,0.667,2,8,10,3,2,0,6,4,29,15.7,18
2011-2012,0,59,59,4/16/2012,2.00,27-108,27.29589041,MIA,0,NJN,3,W,1,35:12:00,11,19,0.579,1,2,0.5,14,15,0.933,1,5,6,7,2,1,4,2,37,32.7,-4
2011-2012,0,60,60,4/18/2012,1.00,27-110,27.30136986,MIA,1,TOR,24,W,1,30:12:00,12,15,0.8,1,1,1,3,4,0.75,0,5,5,4,2,0,5,0,28,23.2,20
2011-2012,0,61,61,4/19/2012,3.00,27-111,27.30410959,MIA,1,CHI,11,W,1,35:20:00,8,18,0.444,1,2,0.5,10,12,0.833,0,11,11,6,0,1,1,3,27,22.8,11
2011-2012,0,62,62,4/22/2012,6.00,27-114,27.31232877,MIA,1,HOU,9,W,1,35:52:00,11,21,0.524,1,3,0.333,9,10,0.9,1,7,8,5,1,2,5,1,32,24.6,12
2011-2012,1,1,1,4/28/2012,2.00,27-120,27.32876712,MIA,1,NYK,33,W,1,31:41:00,10,14,0.714,1,1,1,11,14,0.786,1,3,4,3,4,0,2,2,32,29.9,35
2011-2012,1,2,2,4/30/2012,3.00,27-122,27.33424658,MIA,1,NYK,10,W,1,40:35:00,8,18,0.444,0,3,0,3,7,0.429,1,6,7,9,2,0,2,1,19,16.4,10
2011-2012,1,3,3,5/3/2012,3.00,27-125,27.34246575,MIA,0,NYK,17,W,1,35:50:00,9,21,0.429,2,5,0.4,12,13,0.923,2,6,8,5,2,0,8,5,32,19.2,23
2011-2012,1,4,4,5/6/2012,3.00,27-128,27.35068493,MIA,0,NYK,-2,L,1,41:27:00,9,21,0.429,2,5,0.4,7,8,0.875,0,4,4,4,1,0,5,4,27,13.9,-7
2011-2012,1,5,5,5/9/2012,4.00,27-131,27.35890411,MIA,1,NYK,12,W,1,39:38:00,7,16,0.438,2,6,0.333,13,15,0.867,1,7,8,7,2,1,4,2,29,25.4,6
2011-2012,1,6,6,5/13/2012,2.00,27-135,27.36986301,MIA,1,IND,9,W,1,43:15:00,12,26,0.462,0,3,0,8,10,0.8,6,9,15,5,2,1,1,1,32,29.5,12
2011-2012,1,7,7,5/15/2012,2.00,27-137,27.37534247,MIA,1,IND,-3,L,1,42:49:00,10,22,0.455,0,4,0,8,13,0.615,4,5,9,5,6,0,2,0,28,26.4,-7
2011-2012,1,8,8,5/17/2012,3.00,27-139,27.38082192,MIA,0,IND,-19,L,1,40:06:00,10,22,0.455,1,4,0.25,1,3,0.333,1,6,7,3,2,0,4,1,22,12,-9
2011-2012,1,9,9,5/20/2012,2.00,27-142,27.3890411,MIA,0,IND,8,W,1,43:54:00,14,27,0.519,0,0,,12,16,0.75,6,12,18,9,2,2,5,1,40,37.2,4
2011-2012,1,10,10,5/22/2012,2.00,27-144,27.39452055,MIA,1,IND,32,W,1,38:09:00,12,19,0.632,2,4,0.5,4,4,1,3,7,10,8,1,1,4,1,30,28.6,28
2011-2012,1,11,11,5/24/2012,4.00,27-146,27.4,MIA,0,IND,12,W,1,44:46:00,12,23,0.522,0,3,0,4,5,0.8,1,5,6,7,3,0,1,1,28,25,16
2011-2012,1,12,12,5/28/2012,2.00,27-150,27.4109589,MIA,1,BOS,14,W,1,43:53:00,13,22,0.591,0,3,0,6,9,0.667,1,12,13,3,1,3,3,2,32,26.3,17
2011-2012,1,13,13,5/30/2012,2.00,27-152,27.41643836,MIA,1,BOS,4,W,1,47:39:00,7,20,0.35,2,6,0.333,18,24,0.75,4,6,10,7,1,1,1,2,34,29.8,10
2011-2012,1,14,14,6/1/2012,2.00,27-154,27.42191781,MIA,0,BOS,-10,L,1,43:18:00,16,26,0.615,1,4,0.25,1,5,0.2,0,8,8,5,2,2,3,4,34,25.3,-6
2011-2012,1,15,15,6/3/2012,2.00,27-156,27.42739726,MIA,0,BOS,-2,L,1,48:06:00,12,25,0.48,1,3,0.333,4,8,0.5,1,5,6,3,1,1,7,6,29,11.3,1
2011-2012,1,16,16,6/5/2012,2.00,27-158,27.43287671,MIA,1,BOS,-4,L,1,45:20:00,11,25,0.44,2,6,0.333,6,8,0.75,3,10,13,2,2,1,3,1,30,21.9,0
2011-2012,1,17,17,6/7/2012,2.00,27-160,27.43835616,MIA,0,BOS,19,W,1,44:49:00,19,26,0.731,2,4,0.5,5,9,0.556,2,13,15,5,0,0,4,3,45,36.4,22
2011-2012,1,18,18,6/9/2012,3.00,27-162,27.44383562,MIA,1,BOS,13,W,1,47:32:00,9,21,0.429,1,5,0.2,12,17,0.706,2,10,12,2,1,1,3,0,31,22.4,13
2011-2012,1,19,19,6/12/2012,2.00,27-165,27.45205479,MIA,0,OKC,-11,L,1,45:50:00,11,24,0.458,1,3,0.333,7,9,0.778,1,8,9,4,4,0,4,1,30,22.3,-11
2011-2012,1,20,20,6/14/2012,3.00,27-167,27.45753425,MIA,0,OKC,4,W,1,42:19:00,10,22,0.455,0,2,0,12,12,1,2,6,8,5,1,0,2,4,32,24.7,6
2011-2012,1,21,21,6/17/2012,2.00,27-170,27.46575342,MIA,1,OKC,6,W,1,43:50:00,11,23,0.478,1,4,0.25,6,8,0.75,5,9,14,3,0,0,4,1,29,20.4,8
2011-2012,1,22,22,6/19/2012,2.00,27-172,27.47123288,MIA,1,OKC,6,W,1,44:21:00,10,20,0.5,1,4,0.25,5,8,0.625,3,6,9,12,2,0,3,2,26,25.3,8
2011-2012,1,23,23,6/21/2012,131.00,27-174,27.47671233,MIA,1,OKC,15,W,1,44:09:00,9,19,0.474,0,3,0,8,9,0.889,4,7,11,13,1,2,6,2,26,25.5,20
2012-2013,0,1,1,10/30/2012,3.00,27-305,27.83561644,MIA,1,BOS,13,W,1,28:52:00,10,16,0.625,2,4,0.5,4,5,0.8,1,9,10,3,2,0,0,2,26,25.1,12
2012-2013,0,2,2,11/2/2012,1.00,27-308,27.84383562,MIA,0,NYK,-20,L,1,36:41:00,8,16,0.5,2,3,0.667,5,6,0.833,0,7,7,5,0,3,5,2,23,16.5,-21
2012-2013,0,3,3,11/3/2012,2.00,27-309,27.84657534,MIA,1,DEN,3,W,1,39:12:00,8,17,0.471,0,1,0,4,4,1,1,8,9,11,0,2,0,2,20,22.7,7
2012-2013,0,4,4,11/5/2012,2.00,27-311,27.85205479,MIA,1,PHO,25,W,1,30:11:00,10,17,0.588,2,3,0.667,1,3,0.333,3,8,11,1,0,0,3,2,23,15.7,25
2012-2013,0,5,5,11/7/2012,2.00,27-313,27.85753425,MIA,1,BRK,30,W,1,29:59:00,7,12,0.583,2,3,0.667,4,4,1,4,8,12,8,1,0,2,1,20,23.8,18
2012-2013,0,6,6,11/9/2012,2.00,27-315,27.8630137,MIA,0,ATL,6,W,1,35:40:00,10,17,0.588,0,2,0,1,3,0.333,2,9,11,9,1,0,2,2,21,20.9,0
2012-2013,0,7,7,11/11/2012,1.00,27-317,27.86849315,MIA,0,MEM,-18,L,1,35:43:00,10,19,0.526,0,1,0,0,4,0,3,7,10,6,2,1,2,2,20,17.4,-18
2012-2013,0,8,8,11/12/2012,2.00,27-318,27.87123288,MIA,0,HOU,3,W,1,39:55:00,14,26,0.538,5,8,0.625,5,8,0.625,1,9,10,6,0,0,0,1,38,31.4,8
2012-2013,0,9,9,11/14/2012,1.00,27-320,27.87671233,MIA,0,LAC,-7,L,1,41:13:00,12,23,0.522,0,3,0,6,9,0.667,0,5,5,7,1,2,4,3,30,21.1,-15
2012-2013,0,10,10,11/15/2012,2.00,27-321,27.87945205,MIA,0,DEN,5,W,1,41:57:00,11,23,0.478,0,1,0,5,6,0.833,1,6,7,12,1,3,4,0,27,24.9,9
2012-2013,0,11,11,11/17/2012,4.00,27-323,27.88493151,MIA,0,PHO,9,W,1,40:43:00,8,20,0.4,1,3,0.333,4,7,0.571,0,7,7,3,2,0,1,1,21,13.8,20
2012-2013,0,12,12,11/21/2012,3.00,27-327,27.89589041,MIA,1,MIL,7,W,1,42:32:00,11,21,0.524,2,4,0.5,4,8,0.5,2,8,10,8,1,1,1,3,28,25,5
2012-2013,0,13,13,11/24/2012,5.00,27-330,27.90410959,MIA,1,CLE,2,W,1,39:58:00,10,16,0.625,2,5,0.4,8,9,0.889,1,5,6,5,0,1,7,3,30,20.6,7
2012-2013,0,14,14,11/29/2012,2.00,27-335,27.91780822,MIA,1,SAS,5,W,1,39:06:00,9,16,0.563,2,5,0.4,3,6,0.5,3,6,9,7,4,0,4,2,23,22.2,-1
2012-2013,0,15,15,12/1/2012,3.00,27-337,27.92328767,MIA,1,BRK,13,W,1,36:57:00,8,15,0.533,1,2,0.5,4,6,0.667,1,8,9,6,1,0,2,3,21,18,14
2012-2013,0,16,16,12/4/2012,2.00,27-340,27.93150685,MIA,0,WAS,-4,L,1,42:53:00,12,24,0.5,1,4,0.25,1,3,0.333,2,11,13,11,3,2,3,1,26,26.6,-3
2012-2013,0,17,17,12/6/2012,2.00,27-342,27.9369863,MIA,1,NYK,-20,L,1,38:35:00,11,20,0.55,3,5,0.6,6,9,0.667,2,8,10,9,3,0,2,0,31,31.3,-17
2012-2013,0,18,18,12/8/2012,2.00,27-344,27.94246575,MIA,1,NOH,16,W,1,35:55:00,11,16,0.688,0,0,,2,3,0.667,1,4,5,7,2,0,4,2,24,20.8,10
2012-2013,0,19,19,12/10/2012,2.00,27-346,27.94794521,MIA,1,ATL,9,W,1,40:21:00,10,16,0.625,1,2,0.5,6,7,0.857,1,6,7,6,2,0,3,0,27,25.1,12
2012-2013,0,20,20,12/12/2012,3.00,27-348,27.95342466,MIA,1,GSW,-2,L,1,42:21:00,12,23,0.522,2,4,0.5,5,5,1,1,2,3,5,1,0,4,0,31,21.5,-3
2012-2013,0,21,21,12/15/2012,3.00,27-351,27.96164384,MIA,1,WAS,30,W,1,30:33:00,8,15,0.533,0,3,0,7,11,0.636,0,10,10,5,1,0,2,0,23,19.6,36
2012-2013,0,22,22,12/18/2012,2.00,27-354,27.96986301,MIA,1,MIN,11,W,1,41:59:00,8,18,0.444,2,5,0.4,4,5,0.8,0,6,6,11,1,4,0,0,22,25.5,12
2012-2013,0,23,23,12/20/2012,2.00,27-356,27.97534247,MIA,0,DAL,15,W,1,30:55:00,9,13,0.692,3,5,0.6,3,4,0.75,0,9,9,5,1,1,5,0,24,21,25
2012-2013,0,24,24,12/22/2012,3.00,27-358,27.98082192,MIA,1,UTA,16,W,1,37:30:00,11,20,0.55,1,1,1,7,10,0.7,1,8,9,7,0,0,4,0,30,23.2,14
2012-2013,0,25,25,12/25/2012,1.00,27-361,27.9890411,MIA,1,OKC,6,W,1,41:52:00,12,20,0.6,0,3,0,5,5,1,3,5,8,9,2,1,3,3,29,28.2,13
2012-2013,0,26,26,12/26/2012,2.00,27-362,27.99178082,MIA,0,CHA,13,W,1,38:35:00,9,19,0.474,2,4,0.5,7,8,0.875,2,10,12,8,4,2,3,1,27,28.9,12
2012-2013,0,27,27,12/28/2012,1.00,27-364,27.99726027,MIA,0,DET,-10,L,1,44:19:00,15,22,0.682,2,4,0.5,3,4,0.75,1,5,6,5,6,1,3,1,35,34.2,-2
2012-2013,0,28,28,12/29/2012,2.00,27-365,28,MIA,0,MIL,-19,L,1,36:29:00,11,20,0.55,1,2,0.5,3,5,0.6,1,5,6,7,2,1,6,2,26,18.6,-8
2012-2013,0,29,29,12/31/2012,2.00,28-001,28.00273973,MIA,0,ORL,2,W,1,47:53:00,10,22,0.455,1,6,0.167,15,16,0.938,1,7,8,11,1,0,3,2,36,31.9,4
